File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build\generated-sources\ap-source-output\com\entities\Typestructure_.java,23,17,14,0,6,0,0,0,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build\generated-sources\ap-source-output\com\entities\Type_.java,24,18,15,0,6,0,0,0,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build\generated-sources\ap-source-output\com\entities\Utilisateur_.java,29,23,20,0,6,0,0,0,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\PicklistGenericConverter.java,69,45,23,9,6,0,18,125,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\AbstractBean.java,55,37,32,0,9,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\AffectationBean.java,269,219,170,22,38,3,12,49,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\AgentBean.java,125,99,76,5,17,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\ArticleBean.java,117,88,68,4,19,0,10,38,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\CategorieBean.java,121,98,78,3,14,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\DotationBean.java,242,192,149,17,34,2,16,48,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\EquipsortieBean.java,57,38,29,0,10,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\EquipUtilBean.java,434,350,275,28,61,1,23,63,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\FamilleBean.java,108,83,63,4,15,0,10,38,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\FournisseurBean.java,98,74,56,3,15,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\GroupeBean.java,97,74,56,3,13,0,10,38,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\LoginController.java,81,56,43,7,13,1,12,49,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\MagasinBean.java,199,156,120,11,33,0,10,39,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\PostedetravailBean.java,115,90,68,6,16,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\PrestataireBean.java,102,76,58,3,17,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\ProfileController.java,101,76,57,4,13,0,12,46,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\RetournerBean.java,526,426,333,42,84,6,16,67,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\RoleBean.java,97,74,56,3,14,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\ServiceBean.java,122,93,71,6,20,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\SortieBean.java,204,162,125,12,31,0,11,41,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\SourcedefinancementBean.java,100,74,56,3,17,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\StructureBean.java,196,152,117,11,31,0,13,48,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\TypeBean.java,104,82,62,4,12,0,10,38,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\controller\UtilisateurBean.java,162,116,89,10,23,0,23,67,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\converter\EquipementConverter.java,15,3,2,0,3,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Affectation.java,181,142,78,11,30,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Affectationrole.java,135,104,59,8,22,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Affectationutilisateur.java,146,114,65,9,23,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Agent.java,302,241,138,26,48,0,13,72,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Agentcat.java,124,94,55,7,21,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Article.java,210,167,97,18,32,0,11,70,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Besoins.java,132,102,59,8,21,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Bon.java,196,155,90,17,30,0,11,70,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Bonaffectation.java,178,141,80,15,26,0,11,70,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Bondotation.java,178,141,80,15,26,0,11,70,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Bonrestitution.java,190,151,85,16,28,0,11,70,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Categorie.java,144,112,64,13,22,0,10,53,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Dotation.java,159,125,69,9,25,0,9,37,5,31
